,plate,make,color,year,total violations,brooklyn,bronx,queens,staten island,manhattan,unknown
349,GJA8673,JEEP,BL,2014,4,0,0,0,0,4,0
350,GJH8673,HYUND,BLACK,2012.0,21,0,19,0,0,2,0
351,GJK8673,LINCO,GY,2017,2,0,0,0,2,0,0
352,GJP8673,HONDA,BK,2012,11,8,0,0,3,0,0
353,GJS8673,JEEP,BLK,2004,3,1,0,2,0,0,0
354,GJT8673,ME/BE,GY,1997,2,1,0,0,0,0,1
355,GJY8673,INFIN,BK,2001,5,5,0,0,0,0,0
356,GKB8673,FORD,GR,2002,6,0,0,6,0,0,0
357,GKD8673,LEXUS,BK,2016,1,0,0,1,0,0,0
358,GKM8673,JEEP,WHT,2014,8,2,0,4,0,2,0
359,GKP8673,HONDA,LT-GY,1999,5,0,0,5,0,0,0
360,GKV8673,HONDA,GY,2014,7,0,1,6,0,0,0
361,GKW8673,TOYOT,GREY,0,3,0,1,2,0,0,0
362,GKX8673,PONTI,BLACK,1999,5,0,0,4,0,1,0
363,GKZ8673,,WHITE,0,1,1,0,0,0,0,0
364,GLC8673,HYUND,TN,2001,3,0,1,0,0,2,0
365,GLH8673,JEEP,GY,2014,4,0,0,0,4,0,0
366,GLJ8673,TOYOT,BK,2013,2,2,0,0,0,0,0
367,GLL8673,FORD,BLUE,2002,1,0,0,0,0,1,0
368,GLM8673,MAZDA,GY,2004,2,0,0,2,0,0,0
369,GLN8673,HONDA,BLACK,2014,2,2,0,0,0,0,0
370,GLR8673,CHEVR,GOLD,1998,3,0,3,0,0,0,0
371,GLS8673,JEEP,BLACK,2004,10,9,0,0,0,1,0
372,GLX8673,TOYOT,BLACK,0,3,0,0,3,0,0,0
373,GMG8673,TOYOT,GY,2014,8,0,0,8,0,0,0
374,GMJ8673,VOLVO,BK,2012,1,1,0,0,0,0,0
375,GMR8673,CHRYS,BL,0,2,0,0,2,0,0,0
376,GMT8673,HONDA,BR,1992,2,2,0,0,0,0,0
377,GMV8673,CHEVR,WH,2011,4,0,0,3,0,1,0
378,GMW8673,SUBAR,GY,2014,27,25,0,0,0,2,0
379,GMZ8673,BMW,WH,2002,1,0,1,0,0,0,0
380,GNB8673,BMW,GY,2006,15,2,0,0,10,3,0
381,GNK8673,JEEP,WH,2014,1,1,0,0,0,0,0
382,GNN8673,TOYOT,GY,2010.0,13,10,3,0,0,0,0
383,GNR8673,FORD,DKBL,1992,4,0,0,0,0,4,0
384,GNV8673,TOYOT,GREY,2014,8,7,0,0,0,1,0
385,GNX8673,SUBAR,GY,2012,1,0,0,1,0,0,0
386,GNY8673,ME/BE,BL,2004,1,0,0,1,0,0,0
387,GPE8673,LEXUS,SILVE,2008,1,1,0,0,0,0,0
388,GPH8673,FORD,RED,2005,19,16,0,3,0,0,0
389,GPJ8673,INFIN,BK,2013,2,0,0,0,0,2,0
390,GPL8673,HYUND,BK,2005,3,1,0,2,0,0,0
391,GPM8673,CHEVR,BLACK,2011,10,2,6,2,0,0,0
392,GPN8673,ME/BE,BK,2014,3,0,0,1,0,2,0
393,GPV8673,HYUND,GY,2009,3,2,0,1,0,0,0
394,GPX8673,TOYOT,BL,2014,10,0,0,10,0,0,0
395,GPY8673,BMW,BK,2015,2,1,0,0,0,1,0
396,GRB8673,JEEP,WH,0,1,0,0,1,0,0,0
397,GRD8673,ME/BE,BK,2015,1,0,0,1,0,0,0
398,GRJ8673,TOYOT,GY,2006,4,3,0,1,0,0,0
399,GRS8673,JEEP,GY,2017,1,1,0,0,0,0,0
400,GRZ8673,CHRYS,BL,2005,2,0,2,0,0,0,0
401,GSG8673,BMW,GRAY,2014.0,31,31,0,0,0,0,0
402,GSN8673,DODGE,BK,2017,1,0,0,0,0,1,0
403,GSV8673,FORD,MR,0,9,0,0,1,0,8,0
404,GTA8673,DODGE,WH,2008,9,0,7,2,0,0,0
405,GTB8673,ACURA,WH,2002,3,3,0,0,0,0,0
406,GTC8673,KIA,GREY,2012,4,0,0,4,0,0,0
407,GTJ8673,HONDA,BK,2010,1,1,0,0,0,0,0
408,GTL8673,JEEP,GREY,2014,7,0,7,0,0,0,0
409,GTP8673,TOYOT,BLK,2010,2,0,0,0,0,2,0
410,GTS8673,HONDA,BK,2013,1,0,0,1,0,0,0
